#;application/x-mathcad
%;application/x-trash
123;application/vnd.lotus-1-2-3
ly;text/x-lilypond
lyx;application/x-lyx
lz4;application/x-lz4
lz;application/x-lzip
lzh;application/x-lzh
lzma;application/x-lzma
lzo;application/x-lzop
lzx;application/x-lzx
m13;application/x-msmediaview
m14;application/x-msmediaview
m15;audio/x-mod
m1u;video/vnd.mpegurl
m1v;video/mpeg
m21;application/mp21
m2a;audio/mpeg
m2t;video/mp2t
m2ts;video/mp2t
m2v;video/mpeg
m3a;audio/mpeg
m3g;application/x-m3g
m3u8;application/vnd.apple.mpegurl
m3u;application/vnd.apple.mpegurl
m4;application/x-m4
m4a;audio/mpeg
m4b;audio/x-m4b
m4p;application/mp4
m4s;video/iso.segment
m4u;video/vnd-mpegurl
m4v;video/x-m4v
m;application/vnd.wolfram.mathematica.package
ma;application/mathematica
mab;application/x-markaby
mads;application/mads+xml
mag;application/vnd.ecowin.chart
mak;text/x-makefile
maker;application/x-maker
man;application/x-troff-man
